date,confirmed,Awareness,Larviciding,Fogging,irs,Ovi_Trap,Dewatering,Tyres,Debris,FishSeed,Max_Temp,Min_Temp,Max_Humidity,Min_Humidity,Rainfall,cluster
2014-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11
2014-01-15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
2014-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-20,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,11
2014-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-24,0,4,0,0,0,0,2,0,14,0,0,0,0,0,0,11
2014-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2014-01-31,0,3,0,0,0,0,0,1,12,0,0,0,0,0,0,11
2014-02-01,0,0,0,0,0,0,0,0,0,0,21.5,9.0,100.0,89.0,0.0,11
2014-02-02,0,0,0,0,0,0,0,0,0,0,15.0,9.0,94.0,75.0,0.0,11
2014-02-03,0,0,0,0,0,0,0,0,0,0,17.6,10.0,89.0,74.0,0.0,11
2014-02-04,0,0,0,0,0,0,0,0,0,0,16.4,7.6,87.0,66.0,0.0,11
2014-02-05,0,0,0,0,0,0,0,0,0,0,17.6,8.1,83.0,48.0,0.0,11
2014-02-06,0,0,0,0,0,0,0,0,14,0,21.0,10.5,83.0,84.0,0.0,11
2014-02-07,0,0,0,0,0,0,0,0,3,0,16.0,8.6,88.0,79.0,14.2,11
2014-02-08,0,0,0,0,0,0,0,0,0,0,16.0,6.2,93.0,56.0,0.0,11
2014-02-09,0,0,0,0,0,0,0,0,0,0,19.0,5.8,73.0,41.0,0.0,11
2014-02-10,0,3,0,0,0,0,2,0,20,0,19.4,6.2,75.0,49.0,0.0,11
2014-02-11,0,0,0,0,0,0,0,0,0,0,19.6,6.5,86.0,50.0,0.0,11
2014-02-12,0,0,0,0,0,0,0,0,0,0,19.5,6.5,87.0,39.0,0.0,11
2014-02-13,0,0,0,0,0,0,0,0,0,0,20.6,5.5,67.0,40.0,0.0,11
2014-02-14,0,0,0,0,0,0,0,0,1,0,21.5,5.7,87.0,61.0,0.0,11
2014-02-15,0,0,0,0,0,0,0,0,0,0,18.7,8.2,77.0,70.0,0.1,11
2014-02-16,0,0,0,0,0,0,0,0,0,0,17.5,5.5,93.0,61.0,4.3,11
2014-02-17,0,0,0,0,0,0,0,0,0,0,18.5,6.0,81.0,52.0,0.0,11
2014-02-18,0,3,0,0,0,0,2,0,10,0,21.5,8.0,82.0,49.0,0.0,11
2014-02-19,0,0,0,0,0,0,0,0,0,0,21.5,8.5,82.0,44.0,0.0,11
2014-02-20,0,0,0,0,0,0,0,0,0,0,23.2,9.0,88.0,43.0,0.0,11
2014-02-21,0,0,0,0,0,0,0,0,0,0,23.0,9.5,77.0,61.0,0.0,11
2014-02-22,0,0,0,0,0,0,0,0,0,0,20.6,10.4,88.0,71.0,2.8,11
2014-02-23,0,0,0,0,0,0,0,0,0,0,19.3,9.0,88.0,50.0,0.0,11
2014-02-24,0,3,0,0,0,0,0,0,7,0,22.0,8.9,88.0,48.0,0.0,11
2014-02-25,0,0,0,0,0,0,0,0,0,0,23.8,8.7,88.0,47.0,0.0,11
2014-02-26,0,0,0,0,0,0,0,0,0,0,24.5,9.4,82.0,51.0,0.0,11
2014-02-27,0,0,0,0,0,0,0,0,0,0,23.5,9.6,83.0,53.0,1.2,11
2014-02-28,0,0,0,0,0,0,0,0,0,0,22.2,10.5,83.0,81.0,0.0,11
2014-03-01,0,0,0,0,0,0,0,0,1,0,20.2,9.4,88.0,64.0,3.0,11
2014-03-02,0,0,0,0,0,0,0,0,0,0,20.0,8.2,88.0,53.0,0.0,11
2014-03-03,0,0,0,0,0,0,0,0,0,0,22.1,8.9,77.0,71.0,0.0,11
2014-03-04,0,4,0,0,0,0,0,0,23,0,19.7,10.9,89.0,55.0,0.8,11
2014-03-05,0,0,0,0,0,0,1,0,0,0,23.8,11.2,79.0,52.0,0.0,11
2014-03-06,0,0,0,0,0,0,1,0,1,0,24.1,12.0,72.0,39.0,0.0,11
2014-03-07,0,0,0,0,0,0,0,0,0,0,24.3,12.5,73.0,45.0,0.0,11
2014-03-08,0,0,0,0,0,0,0,0,0,0,25.0,12.5,75.0,43.0,0.0,11
2014-03-09,0,0,0,0,0,0,0,0,0,0,25.5,13.5,59.0,50.0,0.0,11
2014-03-10,0,0,0,0,0,0,0,0,0,0,25.8,12.5,75.0,50.0,0.0,11
2014-03-11,0,4,0,0,0,0,7,0,18,0,26.0,11.3,89.0,75.0,8.3,11
2014-03-12,0,0,0,0,0,0,0,0,0,0,20.5,8.5,82.0,47.0,0.0,11
2014-03-13,0,0,0,0,0,0,0,0,0,0,22.8,9.6,69.0,41.0,0.0,11
2014-03-14,0,0,0,0,0,0,0,0,0,0,25.5,12.5,74.0,39.0,0.0,11
2014-03-15,0,0,0,0,0,0,0,0,0,0,28.0,13.0,76.0,55.0,0.0,11
2014-03-16,0,0,0,0,0,0,0,0,0,0,26.5,15.0,76.0,50.0,0.0,11
2014-03-17,0,0,0,0,0,0,0,0,0,0,29.0,15.5,62.0,50.0,0.0,11
2014-03-18,0,0,0,0,0,0,0,0,0,0,27.6,12.6,85.0,54.0,9.1,11
2014-03-19,0,4,1,0,0,0,0,0,19,0,26.6,14.0,61.0,42.0,0.0,11
2014-03-20,0,0,0,0,0,0,0,0,0,0,26.0,13.2,71.0,41.0,0.0,11
2014-03-21,0,0,0,0,0,0,1,1,0,0,29.0,14.5,76.0,58.0,0.0,11
2014-03-22,0,0,0,0,0,0,0,0,0,0,26.6,14.5,62.0,37.0,0.0,11
2014-03-23,0,0,0,0,0,0,0,0,0,0,29.8,15.5,64.0,68.0,0.0,11
2014-03-24,0,0,0,0,0,0,3,0,0,0,21.5,13.5,90.0,86.0,5.4,11
2014-03-25,0,0,0,0,0,0,0,0,0,0,19.4,12.5,85.0,56.0,3.4,11
2014-03-26,0,3,0,0,0,0,2,0,17,0,26.6,14.0,71.0,42.0,0.0,11
2014-03-27,0,0,0,0,0,0,0,0,1,0,27.6,15.0,76.0,41.0,0.0,11
2014-03-28,0,0,0,0,0,0,0,0,0,0,26.0,16.0,81.0,60.0,0.5,11
2014-03-29,0,0,0,0,0,0,0,0,0,0,28.0,15.5,64.0,37.0,0.0,11
2014-03-30,0,0,0,0,0,0,0,0,3,0,29.5,17.0,65.0,32.0,0.0,11
2014-03-31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
2014-04-01,0,7,0,0,0,0,5,0,30,0,31.8,16.5,0.0,0.0,0.0,11
2014-04-02,0,0,0,0,0,1,0,3,20,0,28.8,16.2,0.0,0.0,1.0,11
2014-04-03,0,0,0,0,0,0,1,11,1,0,28.0,14.0,0.0,0.0,9.0,11
2014-04-04,0,0,0,0,0,0,1,14,3,0,29.5,16.0,0.0,0.0,0.0,11
2014-04-05,0,0,0,0,1,0,0,0,8,0,29.5,18.0,0.0,0.0,0.0,11
2014-04-06,0,0,0,0,0,0,1,0,0,0,26.0,17.6,0.0,0.0,0.1,11
2014-04-07,0,0,0,0,0,0,0,8,4,0,28.5,15.3,0.0,0.0,0.2,11
2014-04-08,0,3,1,0,0,0,0,0,22,0,29.7,14.1,0.0,0.0,2.0,11
2014-04-09,0,0,0,0,0,0,1,0,1,0,31.8,17.0,0.0,0.0,0.0,11
2014-04-10,0,3,0,0,1,0,0,5,1,0,33.2,18.0,0.0,0.0,0.0,11
2014-04-11,0,9,0,0,0,0,0,0,10,0,33.8,17.0,0.0,0.0,0.0,11
2014-04-12,0,16,0,0,0,0,0,0,15,0,34.0,18.7,0.0,0.0,0.0,11
2014-04-13,0,0,0,0,0,0,0,0,2,0,29.2,18.0,0.0,0.0,0.4,11
2014-04-14,0,0,0,0,0,0,2,0,0,0,33.0,15.7,0.0,0.0,0.0,11
2014-04-15,0,0,0,0,0,0,0,0,0,0,33.0,18.0,0.0,0.0,0.0,11
2014-04-16,0,0,0,0,0,0,0,0,21,0,32.6,19.5,0.0,0.0,0.0,11
2014-04-17,0,0,1,0,0,0,7,0,2,0,27.2,14.5,0.0,0.0,21.0,11
2014-04-18,0,9,1,0,0,0,2,0,19,0,26.3,15.0,0.0,0.0,0.4,11
2014-04-19,0,5,0,0,1,0,0,0,5,0,27.6,13.2,0.0,0.0,30.0,11
2014-04-20,0,0,0,0,0,0,0,0,0,0,31.5,14.5,0.0,0.0,0.0,11
2014-04-21,0,1,0,0,2,0,0,0,1,0,31.7,18.5,0.0,0.0,0.0,11
2014-04-22,0,2,0,0,1,0,0,0,20,0,33.0,19.4,0.0,0.0,0.0,11
2014-04-23,0,0,0,0,0,0,1,2,1,0,34.7,18.7,0.0,0.0,0.0,11
2014-04-24,0,1,0,0,0,0,3,1,3,0,37.0,20.0,0.0,0.0,0.0,11
2014-04-25,0,0,0,0,0,0,5,0,4,0,37.0,21.0,0.0,0.0,1.0,11
2014-04-26,0,0,0,0,0,0,0,0,2,0,36.7,23.0,0.0,0.0,0.0,11
2014-04-27,0,1,0,0,0,0,0,0,1,0,37.8,21.0,0.0,0.0,0.0,11
2014-04-28,0,0,0,0,0,0,0,0,1,0,39.7,23.0,0.0,0.0,0.0,11
2014-04-29,0,0,1,0,2,0,2,1,0,0,40.6,23.0,0.0,0.0,0.0,11
2014-04-30,0,1,0,0,0,0,0,0,5,0,41.7,22.5,0.0,0.0,0.0,11
2014-05-01,0,0,0,0,0,0,0,0,0,0,42.2,25.5,0.0,0.0,0.0,11
2014-05-02,0,0,0,0,0,0,0,0,1,0,42.9,25.8,0.0,0.0,0.0,11
2014-05-03,0,4,2,0,4,0,0,0,11,0,38.0,24.7,0.0,0.0,0.1,11
2014-05-04,0,0,0,0,0,0,0,0,0,0,38.5,26.5,0.0,0.0,0.0,11
2014-05-05,0,0,6,0,0,0,4,2,13,0,36.0,21.0,0.0,0.0,1.0,11
2014-05-06,0,12,0,0,0,0,0,2,17,0,36.2,23.6,0.0,0.0,0.0,11
2014-05-07,0,0,1,0,0,0,0,0,4,0,37.6,22.3,0.0,0.0,1.0,11
2014-05-08,0,0,1,0,0,0,0,0,2,0,39.5,21.2,0.0,0.0,0.0,11
2014-05-09,0,0,0,0,0,0,0,0,0,0,37.4,21.5,0.0,0.0,2.0,11
2014-05-10,0,0,0,0,0,0,3,0,1,0,33.0,23.5,0.0,0.0,0.0,11
2014-05-11,0,0,0,0,0,0,0,0,0,0,33.0,22.5,0.0,0.0,0.8,11
2014-05-12,0,0,1,0,0,0,1,1,1,0,33.2,20.6,0.0,0.0,0.1,11
2014-05-13,0,0,0,0,0,0,1,0,0,0,29.7,14.4,0.0,0.0,12.0,11
2014-05-14,0,0,0,0,0,0,0,2,45,0,31.2,17.5,0.0,0.0,7.0,11
2014-05-15,0,0,0,0,0,0,6,1,21,0,33.8,19.5,0.0,0.0,0.0,11
2014-05-16,0,0,1,0,0,1,4,0,9,2,36.0,21.6,0.0,0.0,0.0,11
2014-05-17,0,0,0,0,0,0,1,0,4,0,34.5,20.5,0.0,0.0,0.0,11
2014-05-18,0,0,1,0,0,0,2,2,0,0,33.7,21.0,0.0,0.0,0.0,11
2014-05-19,0,0,0,0,0,0,0,0,0,0,35.6,22.5,0.0,0.0,0.0,11
2014-05-20,0,16,1,0,0,0,0,25,6,0,35.5,23.4,0.0,0.0,5.0,11
2014-05-21,0,0,0,0,0,0,0,0,0,0,37.3,23.0,0.0,0.0,0.0,11
2014-05-22,0,0,1,0,0,0,0,0,14,0,39.7,23.0,0.0,0.0,0.0,11
2014-05-23,0,0,0,0,0,0,0,0,5,0,35.0,26.0,0.0,0.0,0.1,11
2014-05-24,0,0,0,0,0,0,0,0,29,0,39.1,20.5,0.0,0.0,0.1,11
2014-05-25,0,0,0,0,0,0,0,0,1,0,40.0,24.4,0.0,0.0,0.0,11
2014-05-26,0,0,0,0,0,0,1,0,8,0,38.5,25.0,0.0,0.0,0.0,11
2014-05-27,0,0,0,0,0,0,0,0,1,0,40.3,25.0,0.0,0.0,0.1,11
2014-05-28,0,0,0,0,0,0,0,0,20,0,41.7,25.4,0.0,0.0,0.0,11
2014-05-29,0,1,0,0,0,0,0,0,3,0,43.2,26.5,0.0,0.0,0.0,11
2014-05-30,0,2,0,0,0,0,3,0,15,0,37.5,28.0,0.0,0.0,0.0,11
2014-05-31,0,0,2,0,0,0,0,4,1,0,42.7,25.1,0.0,0.0,0.1,11
2014-06-01,0,0,0,0,0,0,0,0,0,0,39.0,26.0,0.0,0.0,0.0,11
2014-06-02,0,0,0,0,0,0,6,32,26,0,42.0,26.0,0.0,0.0,0.0,11
2014-06-03,0,0,0,0,0,0,0,0,0,0,42.2,27.0,0.0,0.0,0.0,11
2014-06-04,0,3,0,0,0,0,3,0,4,0,43.8,28.0,0.0,0.0,0.0,11
2014-06-05,0,0,0,0,0,0,0,0,0,0,44.8,30.0,0.0,0.0,0.0,11
2014-06-06,0,4,0,0,0,0,0,0,20,0,45.3,28.5,0.0,0.0,0.0,11
2014-06-07,0,0,0,0,0,0,0,0,38,0,45.0,30.5,0.0,0.0,0.0,11
2014-06-08,0,0,0,0,0,0,0,0,4,0,46.0,28.5,0.0,0.0,0.0,11
2014-06-09,0,0,0,0,0,0,4,6,30,0,45.6,29.6,0.0,0.0,0.0,11
2014-06-10,0,0,0,0,0,0,0,0,2,0,45.7,28.0,0.0,0.0,0.0,11
2014-06-11,0,0,4,0,0,2,0,8,4,0,42.8,30.0,0.0,0.0,0.0,11
2014-06-12,0,0,0,0,0,0,0,0,0,0,42.0,26.0,0.0,0.0,0.0,11
2014-06-13,0,0,0,0,0,0,12,2,4,0,40.0,27.0,0.0,0.0,0.0,11
2014-06-14,0,0,0,0,0,0,0,0,0,0,41.3,27.4,0.0,0.0,0.0,11
2014-06-15,0,0,0,0,0,0,0,0,0,0,42.4,29.5,0.0,0.0,0.0,11
2014-06-16,0,0,0,0,0,0,0,10,62,0,43.3,31.0,0.0,0.0,0.0,11
2014-06-17,0,0,0,0,0,0,0,0,18,0,43.0,30.0,0.0,0.0,0.0,11
2014-06-18,0,0,0,0,0,0,0,0,0,0,41.0,32.1,0.0,0.0,0.0,11
2014-06-19,0,0,0,0,0,0,4,8,2,0,43.0,29.5,0.0,0.0,0.0,11
2014-06-20,0,0,0,0,0,0,2,0,2,0,43.1,30.5,0.0,0.0,0.0,11
2014-06-21,0,0,0,0,0,0,0,0,30,0,40.2,29.6,0.0,0.0,0.0,11
2014-06-22,0,0,0,0,0,0,0,0,0,0,37.2,22.0,0.0,0.0,9.0,11
2014-06-23,0,0,0,0,0,0,0,0,26,0,38.2,25.5,0.0,0.0,0.0,11
2014-06-24,0,0,0,0,0,0,0,18,18,0,38.5,23.0,0.0,0.0,8.0,11
2014-06-25,0,0,0,0,0,0,0,0,20,0,33.4,27.0,0.0,0.0,0.0,11
2014-06-26,0,0,0,0,1,0,0,0,32,0,37.0,20.5,0.0,0.0,9.0,11
2014-06-27,0,2,0,0,0,0,2,0,50,0,40.0,26.2,0.0,0.0,0.0,11
2014-06-28,0,0,0,0,0,0,4,0,14,0,41.0,30.0,0.0,0.0,0.0,11
2014-06-29,0,2,0,0,0,0,0,0,28,0,33.8,20.0,0.0,0.0,24.0,11
2014-06-30,0,0,0,0,0,0,0,0,60,0,37.5,22.0,0.0,0.0,0.1,11
2014-07-01,0,2,0,0,0,0,0,12,54,0,33.8,22.0,0.0,0.0,6.0,11
2014-07-02,0,0,8,0,0,0,2,12,36,0,31.5,24.1,0.0,0.0,0.0,11
2014-07-03,0,0,0,0,0,0,0,0,68,0,34.0,25.0,0.0,0.0,0.1,11
2014-07-04,0,0,0,0,0,0,0,2,36,0,36.4,24.0,0.0,0.0,9.0,11
2014-07-05,0,0,0,0,0,0,0,2,32,0,38.2,27.0,0.0,0.0,0.0,11
2014-07-06,0,0,0,0,0,0,0,2,38,0,37.0,26.5,0.0,0.0,0.0,11
2014-07-07,0,0,0,0,0,0,18,0,68,2,39.5,25.8,0.0,0.0,0.1,11
2014-07-08,0,0,2,0,0,2,18,6,4,0,40.0,29.0,0.0,0.0,0.0,11
2014-07-09,0,0,4,0,0,0,2,0,2,0,40.0,29.5,0.0,0.0,0.0,11
2014-07-10,0,18,6,0,0,0,0,18,10,0,40.2,22.0,0.0,0.0,0.0,11
2014-07-11,0,0,2,0,0,0,10,20,28,0,41.0,30.1,0.0,0.0,0.0,11
2014-07-12,0,18,42,0,0,0,78,14,84,0,42.0,30.5,0.0,0.0,0.0,11
2014-07-13,0,0,0,0,0,0,0,0,14,0,42.0,30.5,0.0,0.0,0.0,11
2014-07-14,0,0,6,0,0,0,10,10,26,2,38.5,27.5,0.0,0.0,0.0,11
2014-07-15,0,6,0,0,0,2,80,4,72,0,38.8,29.0,70.0,54.0,0.0,11
2014-07-16,0,18,2,0,1,2,74,2,50,0,34.5,26.0,78.0,74.0,0.0,11
2014-07-17,0,2,12,0,0,0,90,6,54,0,32.5,26.0,78.0,74.0,0.1,11
2014-07-18,0,0,2,0,0,2,16,4,72,0,34.5,21.5,0.0,0.0,16.0,11
2014-07-19,0,0,18,0,0,0,40,2,36,0,34.2,25.5,0.0,0.0,0.0,11
2014-07-20,0,0,0,0,0,0,0,0,8,0,35.7,24.0,0.0,0.0,0.1,11
2014-07-21,0,3,5,0,0,0,8,6,15,4,37.0,26.0,0.0,0.0,0.0,11
2014-07-22,0,0,6,0,1,1,31,6,49,0,38.0,28.5,0.0,0.0,0.0,11
2014-07-23,0,2,2,0,0,0,19,0,54,0,37.5,28.0,0.0,0.0,0.0,11
2014-07-24,0,0,1,0,0,0,13,1,36,0,38.0,29.0,66.0,57.0,0.0,11
2014-07-25,0,0,0,0,0,0,5,2,14,0,34.0,26.0,78.0,58.0,0.1,11
2014-07-26,1,1,0,0,0,0,11,1,30,0,34.0,26.0,78.0,58.0,0.1,11
2014-07-27,0,0,0,0,0,0,0,0,4,0,36.0,28.0,75.0,69.0,0.0,11
2014-07-28,0,0,0,0,0,0,8,0,34,0,36.0,28.0,75.0,69.0,0.0,11
2014-07-29,0,0,0,0,0,0,0,0,29,0,29.2,25.5,0.0,0.0,0.1,11
2014-07-30,0,0,0,0,0,0,16,1,3,0,34.9,24.5,0.0,0.0,9.0,11
2014-07-31,0,0,0,0,0,0,14,9,5,0,36.0,27.5,69.0,65.0,0.0,11
2014-08-01,0,0,0,0,0,1,30,13,15,0,35.2,27.0,0.0,0.0,0.1,11
2014-08-02,0,0,1,0,20,1,6,3,23,0,35.0,24.5,0.0,0.0,4.0,11
2014-08-03,0,1,0,0,7,0,8,4,3,0,37.2,26.0,0.0,0.0,6.0,11
2014-08-04,0,1,1,0,0,0,11,1,23,0,38.0,28.6,67.0,53.0,0.1,11
2014-08-05,0,4,2,0,1,0,43,8,14,1,35.6,25.8,78.0,56.0,0.0,11
2014-08-06,0,0,0,0,15,0,15,15,5,0,38.0,25.8,72.0,66.0,0.0,11
2014-08-07,0,0,4,0,0,0,51,12,7,0,35.0,27.5,78.0,64.0,0.1,11
2014-08-08,0,1,0,0,0,0,10,3,8,0,33.6,26.5,75.0,66.0,0.0,11
2014-08-09,0,0,0,0,0,0,4,4,18,0,33.7,25.0,78.0,45.0,0.1,11
2014-08-10,0,0,0,0,0,0,4,0,0,0,36.3,25.5,78.0,45.0,37.0,11
2014-08-11,0,0,0,0,1,0,18,0,20,0,36.5,25.5,66.0,58.0,0.0,11
2014-08-12,0,0,0,0,7,0,0,0,12,0,36.0,27.8,79.0,51.0,0.0,11
2014-08-13,0,0,0,0,0,0,3,1,22,0,36.5,26.5,0.0,0.0,7.0,11
2014-08-14,0,0,0,0,0,0,0,0,37,0,36.9,28.0,61.0,49.0,0.0,11
2014-08-15,0,1,0,0,0,3,4,2,27,0,36.0,27.7,80.0,77.0,0.0,11
2014-08-16,0,0,0,0,0,1,11,3,11,0,32.5,21.5,65.0,49.0,0.1,11
2014-08-17,0,0,0,0,1,0,0,0,0,0,33.5,22.0,73.0,43.0,0.0,11
2014-08-18,0,0,2,0,3,0,19,0,2,0,35.5,24.3,71.0,45.0,0.0,11
2014-08-19,0,0,2,0,4,0,5,1,12,1,37.5,26.5,69.0,34.0,0.0,11
2014-08-20,0,0,0,0,0,1,4,9,5,0,37.0,27.5,63.0,37.0,0.0,11
2014-08-21,0,3,0,0,0,0,5,12,19,0,37.2,27.3,63.0,41.0,0.0,11
2014-08-22,0,21,0,0,0,0,0,1,16,0,38.0,26.5,65.0,38.0,0.0,11
2014-08-23,0,3,2,0,0,0,2,0,27,0,36.5,24.8,65.0,38.0,0.0,11
2014-08-24,0,0,0,0,0,0,0,0,0,0,38.0,26.5,69.0,31.0,0.0,11
2014-08-25,0,0,0,0,0,0,7,0,15,0,39.0,26.9,63.0,33.0,0.0,11
2014-08-26,0,0,0,0,0,0,10,0,3,0,38.5,26.5,59.0,43.0,0.0,11
2014-08-27,0,0,0,0,0,0,0,0,12,0,22.5,37.0,67.0,43.0,0.0,11
2014-08-28,0,0,0,0,0,0,0,0,5,0,32.3,2.0,70.0,52.0,0.1,11
2014-08-29,0,0,0,0,0,0,16,0,18,0,36.2,24.5,64.0,43.0,0.0,11
2014-08-30,0,0,0,0,0,0,5,0,16,0,36.5,25.4,64.0,43.0,0.0,11
2014-08-31,0,0,0,0,0,0,0,0,1,0,36.5,27.4,74.0,70.0,0.0,11
2014-09-01,0,0,2,0,0,1,0,1,26,0,29.5,25.0,88.0,84.0,21.0,11
2014-09-02,0,0,0,0,0,0,0,0,8,0,27.2,23.4,88.0,80.0,35.0,11
2014-09-03,0,0,0,0,0,0,1,2,9,2,30.3,24.0,88.0,85.0,2.0,11
2014-09-04,0,0,0,0,0,0,3,10,8,0,28.2,23.4,100.0,92.0,177.0,11
2014-09-05,0,0,0,0,0,0,1,5,5,0,25.0,24.2,100.0,92.0,56.0,11
2014-09-06,0,0,0,0,0,0,4,0,1,0,27.6,22.0,91.0,65.0,146.0,11
2014-09-07,0,0,0,0,14,0,7,7,0,1,30.0,22.6,80.0,63.0,0.1,11
2014-09-08,0,1,4,0,8,0,9,11,1,0,33.2,25.5,85.0,53.0,0.0,11
2014-09-09,0,2,3,0,4,2,2,13,2,0,33.5,25.2,84.0,58.0,0.0,11
2014-09-10,0,1,9,0,12,0,1,1,3,0,34.5,26.6,85.0,60.0,0.0,11
2014-09-11,0,0,11,0,1,3,64,0,4,0,34.0,26.2,81.0,64.0,0.0,11
2014-09-12,0,0,2,0,0,0,14,0,9,0,29.8,26.2,81.0,70.0,0.0,11
2014-09-13,0,5,4,1,0,0,21,0,30,2,33.5,24.0,92.0,56.0,2.0,11
2014-09-14,0,0,0,0,0,0,28,7,1,0,32.5,25.5,81.0,57.0,0.0,11
2014-09-15,0,2,0,0,7,0,43,3,23,0,33.6,22.6,80.0,53.0,12.0,11
2014-09-16,0,0,23,0,0,1,9,0,9,0,34.2,25.4,81.0,67.0,0.0,11
2014-09-17,0,0,4,0,9,0,14,3,14,0,34.6,26.0,81.0,56.0,0.0,11
2014-09-18,0,0,0,0,0,0,7,0,6,0,35.3,26.8,78.0,52.0,0.0,11
2014-09-19,0,10,0,0,0,0,3,0,20,0,35.5,28.0,81.0,54.0,0.0,11
2014-09-20,0,0,0,0,0,0,1,1,1,0,35.2,27.6,78.0,49.0,0.0,11
2014-09-21,0,0,0,5,0,0,2,2,9,0,35.0,24.5,76.0,49.0,0.0,11
2014-09-22,0,0,6,0,0,0,8,1,15,1,35.5,25.5,81.0,56.0,0.0,11
2014-09-23,0,0,15,0,11,0,3,3,3,1,3.5,27.0,77.0,49.0,0.0,11
2014-09-24,0,0,0,0,0,0,0,0,4,3,34.6,27.0,74.0,44.0,0.0,11
2014-09-25,0,0,4,0,2,0,0,0,2,0,33.7,25.6,77.0,44.0,0.0,11
2014-09-26,0,0,3,1,13,0,4,8,9,2,34.5,26.0,77.0,46.0,0.0,11
2014-09-27,0,0,4,0,16,0,4,2,5,0,35.0,25.8,81.0,42.0,0.0,11
2014-09-28,0,0,0,0,0,0,1,0,0,0,35.2,26.0,81.0,42.0,0.0,11
2014-09-29,0,0,0,0,0,0,0,1,0,0,35.0,24.5,80.0,46.0,0.0,11
2014-09-30,0,0,2,0,0,0,12,0,0,1,34.8,25.8,77.0,50.0,0.0,11
2014-10-01,0,5,0,0,0,0,13,1,17,0,34.5,26.5,81.0,48.0,0.0,11
2014-10-02,0,0,1,0,0,0,13,8,2,0,34.3,26.0,77.0,47.0,0.1,11
2014-10-03,0,0,0,0,0,0,8,0,11,0,35.0,26.0,84.0,46.0,0.0,11
2014-10-04,0,12,0,0,0,0,9,0,10,0,35.0,26.1,84.0,51.0,0.0,11
2014-10-05,0,0,0,0,0,0,0,0,1,0,35.0,26.4,84.0,51.0,0.0,11
2014-10-06,0,0,0,0,0,0,0,1,0,0,35.0,26.5,60.0,57.0,0.0,11
2014-10-07,0,0,3,0,1,0,0,0,2,0,34.0,26.5,60.0,57.0,0.0,11
2014-10-08,0,2,2,0,0,0,1,4,0,0,28.0,22.0,60.0,57.0,0.0,11
2014-10-09,0,0,0,0,0,0,7,2,0,0,31.5,20.4,74.0,45.0,1.0,11
2014-10-10,0,0,2,9,0,0,3,4,4,0,32.0,21.5,63.0,38.0,0.0,11
2014-10-11,0,0,1,2,0,3,10,0,7,0,33.0,21.5,75.0,31.0,0.0,11
2014-10-12,0,0,2,2,0,0,0,0,4,0,33.5,22.5,75.0,31.0,0.0,11
2014-10-13,0,0,8,3,13,0,9,1,7,0,32.5,21.7,74.0,52.0,0.0,11
2014-10-14,0,0,1,0,2,0,12,6,2,0,24.0,20.3,72.0,65.0,0.0,11
2014-10-15,0,0,1,0,5,0,7,7,0,0,27.2,18.0,76.0,46.0,0.0,11
2014-10-16,0,8,2,0,0,0,0,0,2,0,28.0,19.0,71.0,42.0,0.0,11
2014-10-17,0,4,0,0,2,0,9,0,0,0,30.0,19.6,69.0,39.0,0.0,11
2014-10-18,0,0,1,0,0,0,0,5,10,0,30.0,20.0,81.0,39.0,0.0,11
2014-10-19,0,0,11,0,0,0,0,4,0,0,31.0,19.6,78.0,36.0,0.0,11
2014-10-20,0,0,0,0,8,0,0,5,5,0,30.3,20.0,78.0,36.0,0.0,11
2014-10-21,1,0,1,0,3,0,3,1,7,0,31.8,20.0,70.0,35.0,0.0,11
2014-10-22,0,0,2,0,0,0,2,18,12,0,32.0,21.0,74.0,34.0,0.0,11
2014-10-23,0,0,2,0,0,0,0,2,2,0,31.9,19.5,74.0,40.0,0.0,11
2014-10-24,0,3,0,0,0,0,0,0,7,0,29.0,21.4,77.0,49.0,0.0,11
2014-10-25,0,24,0,0,0,0,1,0,13,0,30.5,21.0,73.0,38.0,0.0,11
2014-10-26,0,0,5,0,2,0,0,0,0,0,31.0,19.7,82.0,40.0,0.0,11
