year,month,patients,Awareness,Larviciding,Fogging,Ovi_Trap,Dewatering,Tyres,Debris,FishSeed,irs,temp,rainfall,block
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,1
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,1
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,1
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,1
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,1
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,1
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,1
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,1
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,1
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,1
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,1
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,1
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,2
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,2
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,2
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,2
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,2
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,2
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,2
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,2
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,2
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,2
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,2
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,2
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,3
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,3
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,3
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,3
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,3
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,3
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,3
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,3
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,3
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,3
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,3
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,3
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,4
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,4
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,4
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,4
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,4
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,4
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,4
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,4
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,4
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,4
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,4
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,4
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,5
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,5
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,5
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,5
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,5
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,5
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,5
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,5
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,5
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,5
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,5
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,5
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,6
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,6
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,6
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,6
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,6
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,6
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,6
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,6
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,6
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,6
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,6
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,6
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,7
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,7
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,7
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,7
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,7
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,7
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,7
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,7
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,7
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,7
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,7
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,7
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,8
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,8
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,8
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,8
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,8
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,8
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,8
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,8
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,8
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,8
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,8
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,8
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,9
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,9
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,9
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,9
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,9
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,9
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,9
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,9
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,9
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,9
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,9
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,9
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,10
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,10
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,10
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,10
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,10
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,10
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,10
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,10
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,10
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,10
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,10
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,10
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,11
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,11
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,11
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,11
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,11
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,11
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,11
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,11
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,11
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,11
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,11
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,11
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,12
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,12
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,12
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,12
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,12
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,12
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,12
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,12
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,12
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,12
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,12
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,12
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,13
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,13
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,13
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,13
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,13
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,13
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,13
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,13
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,13
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,13
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,13
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,13
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,14
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,14
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,14
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,14
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,14
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,14
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,14
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,14
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,14
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,14
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,14
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,14
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,15
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,15
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,15
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,15
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,15
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,15
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,15
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,15
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,15
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,15
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,15
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,15
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,16
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,16
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,16
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,16
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,16
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,16
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,16
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,16
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,16
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,16
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,16
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,16
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,17
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,17
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,17
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,17
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,17
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,17
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,17
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,17
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,17
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,17
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,17
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,17
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,18
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,18
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,18
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,18
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,18
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,18
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,18
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,18
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,18
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,18
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,18
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,18
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,19
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,19
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,19
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,19
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,19
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,19
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,19
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,19
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,19
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,19
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,19
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,19
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,20
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,20
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,20
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,20
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,20
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,20
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,20
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,20
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,20
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,20
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,20
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,20
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,21
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,21
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,21
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,21
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,21
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,21
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,21
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,21
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,21
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,21
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,21
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,21
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,22
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,22
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,22
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,22
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,22
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,22
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,22
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,22
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,22
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,22
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,22
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,22
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,23
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,23
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,23
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,23
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,23
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,23
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,23
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,23
2012,9,0,0,7,0,0,0,0,0,0,4,28.991666666666667,199.4000008702278,23
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,23
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,23
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,23
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,24
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,24
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,24
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,24
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,24
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,24
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,24
2012,8,0,0,0,0,0,0,0,0,1,0,30.238709726641254,197.10000176727772,24
2012,9,1,0,13,0,0,3,1,0,1,4,28.991666666666667,199.4000008702278,24
2012,10,0,0,10,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,24
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,24
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,24
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,25
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,25
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,25
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,25
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,25
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,25
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,25
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,25
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,25
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,25
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,25
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,25
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,26
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,26
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,26
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,26
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,26
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,26
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,26
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,26
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,26
2012,10,0,0,0,0,0,0,0,0,2,0,24.83548395095333,28.80000066757202,26
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,26
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,26
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,27
2012,2,0,0,0,0,0,0,0,0,0,0,14.286207026448743,6.799999818205833,27
2012,3,0,0,0,0,0,0,0,0,0,0,20.885483941724225,10.0,27
2012,4,0,0,0,0,0,0,0,0,0,0,26.6700000445048,49.89999961853027,27
2012,5,0,0,0,0,0,0,0,0,0,0,32.33225810143255,0.20000000298023224,27
2012,6,0,0,0,0,0,0,0,0,0,0,35.26499996185303,13.200000286102295,27
2012,7,0,0,0,0,0,0,0,0,0,0,33.05645170519429,37.700000524520874,27
2012,8,0,0,0,0,0,0,0,0,0,0,30.238709726641254,197.10000176727772,27
2012,9,0,0,0,0,0,0,0,0,0,0,28.991666666666667,199.4000008702278,27
2012,10,0,0,0,0,0,0,0,0,0,0,24.83548395095333,28.80000066757202,27
2012,11,0,0,0,0,0,0,0,0,0,0,19.700000031789145,0.20000000298023224,27
2012,12,0,0,0,0,0,0,0,0,0,0,13.617741965478466,21.000000476837158,27
2012,1,0,0,0,0,0,0,0,0,0,0,12.700000032301872,18.59999990463257,28
